date,flows,bytes,packets,avg_bps,avg_pps,avg_bpp
2015-04-17 00:00,2856417,56399924270,86894418,934171840,179907,649
2015-04-17 00:05,2821883,55351191957,100560735,916848774,208213,550
2015-04-17 00:10,2759713,50283833497,78729763,832989596,163027,638
2015-04-17 00:15,2770331,53263203797,89675905,882244632,185672,593
2015-04-17 00:20,2695632,52750169795,98648487,871968490,203834,534
2015-04-17 00:25,2648141,53685780208,77435589,887494790,160013,693
2015-04-17 00:30,2683221,54481080604,87300688,900625376,180395,624
2015-04-17 00:35,2644569,50127953631,86877457,827066004,179174,576
2015-04-17 00:40,2593177,51722599850,75763070,855009099,156551,682
2015-04-17 00:45,2769739,49013721032,91980726,810422103,190108,532
2015-04-17 00:50,2556906,49120556979,91413277,813732524,189294,537
2015-04-17 00:55,2623283,48196134307,80422425,798292879,166508,599
2015-04-17 01:00,2727940,51738145483,90740935,856971348,187874,570
2015-04-17 01:05,2579195,54535458826,100139604,901563424,206934,544
2015-04-17 01:10,2677185,50661136912,75598239,839140867,156524,670
2015-04-17 01:15,2539029,47424359588,75873728,787212860,157431,625
2015-04-17 01:20,2720293,50606852672,77180616,840122061,160158,655
2015-04-17 01:25,2472160,49168375605,81094847,814573605,167937,606
2015-04-17 01:30,2518007,51903397373,81943334,859749461,169667,633
2015-04-17 01:35,2470005,51378129153,77149539,849330564,159419,665
2015-04-17 01:40,2451215,48156989646,97323157,797748565,201526,494
2015-04-17 01:45,2520995,51299707384,109197322,849791917,226109,469
2015-04-17 01:50,2587844,50281145263,101948409,829456675,210222,493
2015-04-17 01:55,2445994,49852935726,79596384,824056328,164463,626
2015-04-17 10:00,6673545,161037511771,185359679,2690786400,387148,868
2015-04-17 10:05,6659881,157784858886,182478649,2630531327,380277,864
2015-04-17 10:10,6603335,166316667054,193317715,3408224454,495192,860
2015-04-17 10:15,6652039,165472135443,189487774,4101771692,587134,873
2015-04-17 10:20,6649996,174186674273,209837741,2962333216,446079,830
2015-04-17 10:25,6833127,166521542607,200205861,3961674098,595381,831
2015-04-17 10:30,6604159,180132435040,216758582,3688932839,554874,831
2015-04-17 10:35,6645675,175342751314,193870218,3981002359,550206,904
2015-04-17 10:40,6905490,185456288708,200724841,4480959917,606234,923
2015-04-17 10:45,6834775,175289824565,189839725,4335610701,586935,923
2015-04-17 10:50,6812499,189104330769,209753625,3947208202,547278,901
2015-04-17 10:55,6744807,172598188510,190339173,3805578085,524593,906
2015-04-17 11:00,6680255,188233051380,204967440,3671926523,499796,918
2015-04-17 11:05,6443621,180046175748,195832411,3802784841,517026,919
2015-04-17 11:10,6732769,186310852679,213550202,3908868716,560045,872
2015-04-17 11:15,6493834,172958503553,203363978,4099708532,602552,850
2015-04-17 11:20,6546605,171166455900,186556093,3192763688,434978,917
2015-04-17 11:25,6589481,172840569326,192236734,3710000361,515792,899
2015-04-17 11:30,6328445,169363525811,184607375,3433972542,467881,917
2015-04-17 11:35,6391647,183499770181,221023076,3058558894,460499,830
2015-04-17 11:40,6194518,171159377183,201618535,2859232521,421006,848
2015-04-17 11:45,5998515,173632719675,180318667,2924365168,379621,962
2015-04-17 11:50,5899738,168191619735,186471270,3048143765,422428,901
2015-04-17 11:55,5675548,151248800069,169726018,2526555985,354401,891
2015-04-17 12:00,5632026,159962287064,171536930,2642508779,354214,932
2015-04-17 12:05,5518589,145392939938,157513496,2428746122,328902,923
2015-04-17 12:10,5401579,160831290239,175244404,2653773676,361449,917
2015-04-17 12:15,5332519,152086261961,170835540,2530695558,355335,890
2015-04-17 12:20,5506461,145564261422,153305989,2406687164,316835,949
2015-04-17 12:25,5480372,177503538573,185628521,2965069894,387598,956
2015-04-17 12:30,5433508,153617840642,163242495,2560510719,340116,941
2015-04-17 12:35,5309753,151810449784,156412684,2515208671,323932,970
2015-04-17 12:40,5560929,165639143427,175206616,2755004630,364267,945
2015-04-17 12:45,5817768,153930382304,161126718,2549682405,333610,955
2015-04-17 12:50,5406077,159165949655,170740861,2663948862,357209,932
2015-04-17 12:55,5724772,170890505496,178812566,2940121258,384552,955
2015-04-17 13:00,5750177,156173723549,168550950,3644639729,491686,926
2015-04-17 13:05,5710161,150932160533,160466860,2495628174,331660,940
2015-04-17 13:10,5606031,170385229152,183807118,2842548992,383308,926
2015-04-17 13:15,5999355,180197287929,192974828,3028564022,405414,933
2015-04-17 13:20,5701423,148620500894,156686472,3322873484,437901,948
2015-04-17 13:25,5678347,176009627432,187627538,2915895148,388545,938
2015-04-17 13:30,5781914,179979763383,199286069,3002020560,415505,903
2015-04-17 13:35,5728630,174402498905,192857169,2912879979,402638,904
2015-04-17 13:40,5910262,191755812922,200250929,3202669165,418069,957
2015-04-17 13:45,5883562,161665008538,171142417,3305019084,437346,944
2015-04-17 13:50,5723329,183182420373,192765501,3040744329,399977,950
2015-04-17 13:55,5736250,166358972743,177892684,2782643874,371945,935
2015-04-17 14:00,5746976,169358687954,179771633,2806803899,372422,942
2015-04-17 14:05,5606041,177826749492,195823257,2970065797,408830,908
2015-04-17 14:10,5523529,166896844754,175619504,2781979214,365921,950
2015-04-17 14:15,5435431,185830010569,200668221,3084155561,416302,926
2015-04-17 14:20,5487110,159950382069,171750188,2671399551,358559,931
2015-04-17 14:25,5415349,177301501190,186471454,2936944455,386105,950
2015-04-17 14:30,5722970,183137236376,199569160,3117203025,424611,917
2015-04-17 14:35,5319178,154803932058,168542481,2905274723,395389,918
2015-04-17 14:40,5284616,158906075527,168890709,2631968340,349668,940
2015-04-17 14:45,5353815,163762197941,178923541,2712591457,370465,915
2015-04-17 14:50,5264471,155316270634,165933209,2588690800,345705,936
2015-04-17 14:55,5400214,156297490555,168578763,2668701216,359799,927
2015-04-17 15:00,5453493,155987510821,170967958,3150419550,431621,912
2015-04-17 15:05,5283516,148023959238,157548702,2467353845,328264,939
2015-04-17 15:10,5132000,156939412075,172515213,2594967409,356563,909
2015-04-17 15:15,5297780,175211521994,189454007,2902859542,392353,924
2015-04-17 15:20,5076622,137320667428,144337361,2289884750,300861,951
2015-04-17 15:25,5160155,159184926773,174927530,2636838091,362201,910
2015-04-17 15:30,5146808,154550402237,169228280,2559984135,350388,913
2015-04-17 15:35,5010321,149451019030,155587060,2475481701,322139,960
