172.10.0.2,DC01.BIGMKT1.COM
172.10.0.3,MAIL01.BIGMKT1.COM
172.10.0.4,WEB01.BIGMKT1.COM
172.10.0.5,WEB01A.BIGMKT1.COM
172.10.0.9,WEB01B.BIGMKT1.COM
172.10.0.7,WEB01C.BIGMKT1.COM
172.10.0.8,WEB01D.BIGMKT1.COM
172.10.0.40,Administrator.BIGMKT1.COM
172.10.1.1,WSS1-01.BIGMKT1.COM
172.10.1.2,WSS1-02.BIGMKT1.COM
172.10.1.3,WSS1-03.BIGMKT1.COM
172.10.1.4,WSS1-04.BIGMKT1.COM
172.10.1.5,WSS1-05.BIGMKT1.COM
172.10.1.6,WSS1-06.BIGMKT1.COM
172.10.1.7,WSS1-07.BIGMKT1.COM
172.10.1.8,WSS1-08.BIGMKT1.COM
172.10.1.9,WSS1-09.BIGMKT1.COM
172.10.1.10,WSS1-10.BIGMKT1.COM
172.10.1.11,WSS1-11.BIGMKT1.COM
172.10.1.12,WSS1-12.BIGMKT1.COM
172.10.1.13,WSS1-13.BIGMKT1.COM
172.10.1.14,WSS1-14.BIGMKT1.COM
172.10.1.15,WSS1-15.BIGMKT1.COM
172.10.1.16,WSS1-16.BIGMKT1.COM
172.10.1.17,WSS1-17.BIGMKT1.COM
172.10.1.18,WSS1-18.BIGMKT1.COM
172.10.1.19,WSS1-19.BIGMKT1.COM
172.10.1.20,WSS1-20.BIGMKT1.COM
172.10.1.21,WSS1-21.BIGMKT1.COM
172.10.1.22,WSS1-22.BIGMKT1.COM
172.10.1.23,WSS1-23.BIGMKT1.COM
172.10.1.24,WSS1-24.BIGMKT1.COM
172.10.1.25,WSS1-25.BIGMKT1.COM
172.10.1.26,WSS1-26.BIGMKT1.COM
172.10.1.27,WSS1-27.BIGMKT1.COM
172.10.1.28,WSS1-28.BIGMKT1.COM
172.10.1.29,WSS1-29.BIGMKT1.COM
172.10.1.30,WSS1-30.BIGMKT1.COM
172.10.1.31,WSS1-31.BIGMKT1.COM
172.10.1.32,WSS1-32.BIGMKT1.COM
172.10.1.33,WSS1-33.BIGMKT1.COM
172.10.1.34,WSS1-34.BIGMKT1.COM
172.10.1.35,WSS1-35.BIGMKT1.COM
172.10.1.36,WSS1-36.BIGMKT1.COM
172.10.1.37,WSS1-37.BIGMKT1.COM
172.10.1.38,WSS1-38.BIGMKT1.COM
