date,flows,bytes,packets
2013-04-03 00:05,432,1099120,16830
2013-04-03 00:10,467,1002104,15268
2013-04-03 00:15,322,1312612,20370
2013-04-03 00:20,282,558153,8446
2013-04-03 00:25,363,1383553,21768
2013-04-03 00:30,530,1617695,24895
2013-04-03 00:35,469,2075926,32752
2013-04-03 00:40,371,1754739,27554
2013-04-03 00:45,522,1591510,24631
2013-04-03 00:50,461,1022716,15647
2013-04-03 00:55,332,460105,6818
2013-04-03 00:59,479,1175582,18219
2013-04-03 01:05,305,598865,9232
2013-04-03 01:10,391,787763,12006
2013-04-03 01:15,581,1204793,18631
2013-04-03 01:20,372,1320169,20621
2013-04-03 01:25,430,970564,15220
2013-04-03 01:30,264,470159,7139
2013-04-03 01:35,370,1325596,21063
2013-04-03 01:40,423,904017,13855
2013-04-03 01:45,286,898757,13851
2013-04-03 01:50,266,292335,4187
2013-04-03 01:55,324,737072,11403
2013-04-03 01:59,216,382336,5762
2013-04-03 02:05,311,1124689,17487
2013-04-03 02:10,378,926906,14206
2013-04-03 02:15,358,791346,12219
2013-04-03 02:20,405,455092,6851
2013-04-03 02:25,387,584254,8806
2013-04-03 02:30,340,438110,6545
2013-04-03 02:35,321,282244,4039
2013-04-03 02:40,326,308251,4500
2013-04-03 02:45,379,317729,4560
2013-04-03 02:50,360,749658,11553
2013-04-03 02:55,332,651433,10006
2013-04-03 02:59,284,530962,8168
2013-04-03 03:05,397,500646,7529
2013-04-03 03:10,268,532695,8058
2013-04-03 03:15,379,475547,7090
2013-04-03 03:20,369,361383,5348
2013-04-03 03:25,452,657599,10049
2013-04-03 03:30,358,528530,8154
2013-04-03 03:35,319,680739,10642
2013-04-03 03:40,362,501892,7527
2013-04-03 03:45,413,857543,13206
2013-04-03 03:50,350,675155,10297
2013-04-03 03:55,415,950421,15049
2013-04-03 03:59,302,920522,14180
2013-04-03 04:05,310,323445,4521
2013-04-03 04:10,396,826021,12483
2013-04-03 04:15,368,1025003,15611
2013-04-03 04:20,316,730936,11040
2013-04-03 04:25,746,918617,14363
2013-04-03 04:30,414,1876573,29647
2013-04-03 04:35,340,987325,15482
2013-04-03 04:40,346,596510,8782
2013-04-03 04:45,415,892300,13626
2013-04-03 04:50,349,945474,14982
2013-04-03 04:55,377,598712,9206
2013-04-03 04:59,802,1128852,17561
2013-04-03 05:05,370,1677976,26552
2013-04-03 05:10,295,518443,7606
2013-04-03 05:15,358,923652,14328
2013-04-03 05:20,414,735804,11016
2013-04-03 05:25,253,470919,7197
2013-04-03 05:30,506,388015,5755
2013-04-03 05:35,434,642833,9853
2013-04-03 05:40,303,442569,6744
2013-04-03 05:45,339,686055,10517
2013-04-03 05:50,361,783286,11962
2013-04-03 05:55,332,1017350,15833
2013-04-03 05:59,408,922512,14296
2013-04-03 06:05,332,1006662,12760
2013-04-03 06:10,411,1032217,15652
2013-04-03 06:15,254,868837,13485
2013-04-03 06:20,261,568179,8809
2013-04-03 06:25,196,330412,5003
2013-04-03 06:30,62,29630,340
2013-04-03 06:35,962,281687,2076
2013-04-03 06:40,5990,1454911,9792
2013-04-03 06:45,1655,454229,3124
2013-04-03 06:50,11455,14089610,75141
2013-04-03 06:55,24159,15553602,141160
2013-04-03 06:59,19200,11033559,102272
2013-04-03 07:05,23163,15552184,139616
2013-04-03 07:10,22656,14433931,135198
2013-04-03 07:15,22232,13914771,135737
2013-04-03 07:20,21489,14384076,135669
2013-04-03 07:25,20654,13675950,121959
2013-04-03 07:30,20558,12833878,115052
2013-04-03 07:35,19833,12688357,115568
2013-04-03 07:40,19392,13053290,117341
2013-04-03 07:45,19302,13221831,121507
2013-04-03 07:50,18803,12854704,110503
2013-04-03 07:55,18150,14202816,113500
2013-04-03 07:59,16187,131246833,184808
2013-04-03 08:05,17351,12672269,122146
2013-04-03 08:10,16513,11670419,108059
2013-04-03 08:15,16112,12004146,114805
2013-04-03 08:20,16008,11809132,111421
2013-04-03 08:25,15092,12719679,126552
2013-04-03 08:30,14878,11600581,110026
2013-04-03 08:35,14209,12230036,123822
2013-04-03 08:40,13610,11003258,103397
2013-04-03 08:45,13381,10930386,101585
2013-04-03 08:50,12844,11570426,114889
2013-04-03 08:55,12392,10564754,99606
2013-04-03 08:59,9789,8001326,71990
2013-04-03 09:05,11221,9651143,85903
2013-04-03 09:10,11037,9975552,93856
2013-04-03 09:15,10587,8536279,71772
2013-04-03 09:20,9987,8661734,74008
2013-04-03 09:25,9156,8957162,80394
2013-04-03 09:30,47144,19270498,255786
2013-04-03 09:35,1075337,315650724,5240501
2013-04-03 09:40,1319218,379039436,6299213
2013-04-03 09:45,1290196,365674853,6062009
2013-04-03 09:50,1292550,357607982,5924093
2013-04-03 09:55,1317919,365586340,6059300
2013-04-03 09:59,1069214,295912886,4901790
2013-04-03 10:05,1264777,349479033,5781776
2013-04-03 10:10,1144852,358104025,5629715
2013-04-03 10:15,725196,396841718,4769997
2013-04-03 10:20,640916,399050120,4639655
2013-04-03 10:25,596492,448861124,4577735
2013-04-03 10:30,606940,552317364,4659633
2013-04-03 10:35,603646,501103763,4536295
2013-04-03 10:40,562326,486468403,4522214
2013-04-03 10:45,555834,465112456,4442143
2013-04-03 10:50,482915,410346367,4098345
2013-04-03 10:55,460393,367772918,4024883
2013-04-03 10:59,356682,319849815,3176801
2013-04-03 11:05,410342,414853631,3821481
2013-04-03 11:10,377510,375087335,3683325
2013-04-03 11:15,360787,400198737,3655495
2013-04-03 11:20,363786,392444150,3620489
2013-04-03 11:25,341034,334382875,3501840
2013-04-03 11:30,329285,298261950,3475756
2013-04-03 11:35,310232,304985729,3340660
2013-04-03 11:40,289816,339014366,3390167
2013-04-03 11:45,207488,252221812,2880656
2013-04-03 11:50,133713,194579178,2634522
2013-04-03 11:55,29398,187089847,2052077
2013-04-03 11:59,23397,130842667,1739398
2013-04-03 12:05,33204,157716637,2089323
2013-04-03 12:10,31710,159294478,2068557
2013-04-03 12:15,29915,161538319,2068595
2013-04-03 12:20,20403,151775721,2108297
2013-04-03 12:25,19488,133441024,1983134
2013-04-03 12:30,30385,108706634,1910809
2013-04-03 12:35,30737,107296536,1891167
2013-04-03 12:40,33309,102160195,1802684
2013-04-03 12:45,30598,113803294,1763550
2013-04-03 12:50,38925,93561147,1594054
2013-04-03 12:55,35316,94720673,1670959
2013-04-03 12:59,29848,76342919,1349089
2013-04-03 13:05,37416,94738854,1675477
2013-04-03 13:10,40968,84778891,1498664
2013-04-03 13:15,37544,88474630,1565499
2013-04-03 13:20,42670,78478018,1386188
2013-04-03 13:25,40360,77548157,1370497
2013-04-03 13:30,37517,80781873,1429490
