firstseensrcip	firstseendestip	_c2	_c3	_c4	_c5
10.12.15.152	172.20.0.15	156	7130	409010447	858849289
10.138.214.18	172.20.0.15	192	195212	389543094	1089749473
172.20.0.15	10.138.214.18	49560	188	1860741	602111
10.12.14.15	172.20.0.15	156	7130	69565	59930
10.6.6.7	172.20.0.15	156	7130	165204297	348426181
172.20.0.15	10.12.15.152	1006	19	2623954	301204
10.17.15.10	172.20.0.15	38	2012	302172493	633278469
172.20.0.15	10.13.77.49	0	0	108	0
172.20.0.15	10.17.15.10	1006	19	1575016	357366
172.20.0.15	10.170.32.110	1006	19	809222	239745
10.170.32.110	172.20.0.15	38	3018	193432932	403544817
172.20.0.15	10.6.6.7	1006	19	1547728	94391
10.13.77.49	172.20.0.15	384	190719	7507911	263194104
