parseddate	pcode	pcode	srcip	dstip	sport	dport	sfirst	dfirst	stotal	dtotal	spkts	dpkts
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51628	25	0	0	256	148	4	2
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51626	25	0	0	256	148	4	2
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51627	25	0	0	248	148	4	2
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51624	25	0	0	256	148	4	2
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51629	25	0	0	248	140	4	2
2015-09-12 15:34:06	6	TCP	10.12.14.15	172.20.0.3	51625	25	0	0	256	148	4	2
2015-09-12 15:34:07	6	TCP	10.12.14.15	172.20.0.3	51636	25	0	0	240	132	4	2
2015-09-12 15:34:07	1	OTHER	10.12.14.15	172.20.0.3	0	0	0	0	708	708	4	4
2015-09-12 15:34:10	6	TCP	10.12.14.15	172.20.0.3	5096	80	155	1412	433	1636	5	4
2015-09-12 15:34:10	6	TCP	10.12.14.15	172.20.0.3	5095	80	145	1412	423	1636	5	4
2015-09-12 15:34:10	6	TCP	10.12.14.15	172.20.0.3	5097	80	145	1412	423	1636	5	4
2015-09-12 15:34:15	6	TCP	10.12.14.15	172.20.0.3	5094	25	24	459	356	845	6	7
