firstseen	lastseen	srcip	dstip	sport	dport	conns	maxpkts	avgpkts	maxbytes	avgbytes
2013-04-02 11:53:35	2013-04-02 11:53:35	10.199.250.2	172.10.0.40	20	3552	1	5	5.0	829	829.0
2013-04-03 06:03:42	2013-04-03 06:03:42	10.199.250.2	172.10.0.40	20	8403	1	5	5.0	829	829.0
2013-04-05 07:24:38	2013-04-05 07:24:38	10.199.250.2	172.10.0.40	20	20679	1	5	5.0	829	829.0
2013-04-04 09:02:06	2013-04-04 09:02:06	10.199.250.2	172.10.1.110	21	4636	1	3	3.0	189	189.0
2013-04-06 08:20:41	2013-04-06 08:20:41	10.199.250.2	172.10.1.115	21	2576	1	3	3.0	189	189.0
2013-04-06 07:33:21	2013-04-06 07:33:21	10.199.250.2	172.10.1.118	21	2348	1	3	3.0	189	189.0
2013-04-06 08:52:04	2013-04-06 08:52:04	10.199.250.2	172.10.1.122	21	3901	1	3	3.0	189	189.0
2013-04-07 08:16:09	2013-04-07 08:16:09	10.199.250.2	172.10.1.123	21	2688	1	3	3.0	189	189.0
2013-04-06 10:23:21	2013-04-06 10:23:21	10.199.250.2	172.10.1.124	21	2510	1	3	3.0	189	189.0
2013-04-06 08:12:57	2013-04-06 08:12:57	10.199.250.2	172.10.1.124	21	3113	1	3	3.0	189	189.0
2013-04-04 11:18:10	2013-04-04 11:18:10	10.199.250.2	172.10.1.127	21	2930	1	3	3.0	189	189.0
2013-04-02 07:36:40	2013-04-02 07:36:40	10.199.250.2	172.10.1.128	21	1879	1	3	3.0	189	189.0
2013-04-06 10:38:00	2013-04-06 10:38:00	10.199.250.2	172.10.1.129	21	4266	1	3	3.0	189	189.0
2013-04-02 09:37:15	2013-04-02 09:37:15	10.199.250.2	172.10.1.133	21	1265	1	3	3.0	189	189.0
2013-04-01 09:36:14	2013-04-01 09:36:14	10.199.250.2	172.10.1.134	21	3148	1	3	3.0	189	189.0
2013-04-01 10:04:35	2013-04-01 10:04:35	10.199.250.2	172.10.1.134	21	4840	1	3	3.0	189	189.0
2013-04-05 07:43:05	2013-04-05 07:43:05	10.199.250.2	172.10.1.137	21	3910	1	3	3.0	189	189.0
2013-04-02 09:43:42	2013-04-02 09:43:42	10.199.250.2	172.10.1.139	21	3689	1	3	3.0	189	189.0
