firstseen	lastseen	srcip	dstip	proto	sport	dport	pkts	bytes
2013-04-01 08:02:28	2013-04-01 08:02:28	10.13.77.49	172.10.0.9	6	1507	80	5	448
2013-04-01 08:05:37	2013-04-01 08:05:37	10.13.77.49	172.20.0.6	6	2807	80	5	448
2013-04-01 08:06:05	2013-04-01 08:06:05	10.13.77.49	172.20.0.6	6	3027	80	5	448
2013-04-01 08:07:18	2013-04-01 08:07:18	10.13.77.49	172.20.0.6	6	3546	80	5	448
2013-04-01 08:07:51	2013-04-01 08:07:51	10.13.77.49	172.10.0.9	6	3682	80	5	448
2013-04-01 08:13:33	2013-04-01 08:13:33	10.13.77.49	172.10.0.7	6	5637	80	5	448
2013-04-01 08:21:53	2013-04-01 08:21:53	10.13.77.49	172.20.0.6	6	8709	80	5	448
2013-04-01 08:23:45	2013-04-01 08:23:45	10.13.77.49	172.20.0.6	6	9530	80	5	448
2013-04-01 08:40:08	2013-04-01 08:40:08	10.13.77.49	172.20.0.6	6	15170	80	5	448
2013-04-01 08:40:31	2013-04-01 08:40:31	10.13.77.49	172.20.0.6	6	15326	80	5	448
2013-04-01 08:40:52	2013-04-01 08:40:52	10.13.77.49	172.20.0.6	6	15373	80	5	448
2013-04-01 08:41:22	2013-04-01 08:41:22	10.13.77.49	172.10.0.7	6	15525	80	5	448
2013-04-01 08:41:43	2013-04-01 08:41:43	10.13.77.49	172.10.0.7	6	15633	80	5	448
2013-04-01 08:46:53	2013-04-01 08:46:53	10.13.77.49	172.10.0.7	6	17534	80	5	448
2013-04-01 08:48:27	2013-04-01 08:48:27	10.13.77.49	172.10.0.7	6	18152	80	5	448
2013-04-01 08:52:06	2013-04-01 08:52:06	10.13.77.49	172.10.0.7	6	19621	80	5	448
2013-04-01 08:52:20	2013-04-01 08:52:20	10.13.77.49	172.10.0.9	6	19740	80	5	448
2013-04-01 09:00:36	2013-04-01 09:00:36	10.13.77.49	172.10.0.7	6	23186	80	5	448
2013-04-01 09:09:10	2013-04-01 09:09:10	10.13.77.49	172.10.0.7	6	26459	80	5	448
2013-04-01 09:17:25	2013-04-01 09:17:25	10.13.77.49	172.10.0.9	6	29328	80	5	448
